# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	19856
#@/user_id	240c8f47-1b3e-481f-bf46-4ce45a0f2d10
a 	啊	c=2 d=0.0773569 t=19856
chen ge ba nian xian 	晨歌吧年限	c=1 d=0.0466538 t=19856
cheng 	成	c=4 d=0.118837 t=19856
cheng 	程	c=5 d=4.89988e-15 t=19856
cheng 	稱	c=1 d=1.08983e-12 t=19856
cheng bai er 	盛百二	c=1 d=1.6371e-05 t=19856
cheng ben 	成本	c=123 d=1.26504 t=19856
cheng ben ba 	成本吧	c=1 d=0.000808767 t=19856
cheng ben bu qing kuang 	成本不情況	c=1 d=6.5783e-15 t=19856
cheng ben dan yuan 	成本單元	c=2 d=1.83732e-05 t=19856
cheng ben gui hua 	成本規劃	c=10 d=0.0265151 t=19856
cheng ben kong ji na 	成本空寂那	c=1 d=2.4001e-06 t=19856
cheng ben kong jian 	成本空間	c=11 d=0.228032 t=19856
cheng ben mo xing 	成本模型	c=3 d=1.98546e-10 t=19856
cheng ben nei kong jian 	成本內空間	c=1 d=1.02194e-20 t=19856
